delegates,voting_power
0x8266B44E17CD5DCf8ED99014D9598723F99dCbE7,0.337317
0x0D142Aaa57092ABA21c0FE8b7c8315eBa3662109,0
0xD9Af715CA99cf4aa9Db39250De1aDE621b2E3D05,3
0x21b3B193B71680E2fAfe40768C03a0Fd305EFa75,1.01
0x0E9B063789909565CEdA1Fba162474405A151E66,1.73771
0xdfc96169E1241D4965F5527b0F60E72744F63588,1
0xa36db8887BEc027C1Eb23D3726cFdb64A82Ed16E,0
0xF23dC1F804Da053721afCF0fF5c81670502b66C1,0
0x09480b427805150723736B7Db5f242842fe2B7A0,1.01
0x3B954E0EA1e60D8A9A6026De8aE19De013FDB2F5,1.03
0x2E6b36BDF2D30e5e84EAEEB9B070468b8a323d91,1
0xB26955Bf79b31bA50A84a42916e220E06258e0dF,1.01
0x29fb4C3d3C9FcB4fEEB10aD486C7fCB708f6BAA1,1.1
0x50a439f4118ccF71C0Cc33291DBEA9Ed6A5221d9,0.59
0x48099484696814A3487EbfeCBfA18b19334E72AA,0
0x2c65456C62f849f8B0E5F354b0102E0e1FC07Fc0,12.9799
0x4331faE3f7fF82C229204658CadC1837AA4E1A70,0
0xE1b93036DB9Ac8Fa415412C67617aDa848F80e98,0.654
0xF88c2684bF5fAa04ACc8F38596bdCE77eE4bBdFD,0.11
0xaA45d2Ba4Ab87F6fe2575434248A5b478BeD46db,1.79206
0xBECc5CF60aEf2A8D47a85720Fe816783422ba758,0.5
0x542a16fD5F153ea318607A0CF8511199919f71c2,0.177565
0x0c6eF2EE6B7a718112d0E9827Fab6fb2b006dD10,0.258174
0xD57dcb52b93Dfd5133084779a4cBC57Cbb9b6c32,1
0x5330f59525C0A9e43882Be982522f25F97c49076,1.08482
0xa4D71c0b0d7c9c64774634F9703bF0bB1E47d1b6,0
0x80A9C70B06C7881Dcc835cE232E89fd7f8620F16,5.14951
0xB4c9Df37ADD3a8a642c9d52960A4B0e61fF59753,0.5
0x3c847CCABE9B55e4049ec34c12Da9213785753b2,0
0xDF4847Cee3d3ba091eB5F878666e4469a41444E0,0
0x1d623f93432F784af9aE748eE33B3Db19cb448AF,0
0xbF2ec846fbC92E8a0cFb10a90E18498e42be41D6,0.396276
0x97A501FB31272e3B3541D8a34f33f39C040b5e28,0
0x809032cD467a69eD03C5f959139d1f7eE0b88734,0
0xF00F891EDb61A6cB2893af0db65051D2A6a3cEBb,0.401821
