member,address,start_date,end_date,season
Lead: Brock,,4/1/2024,26/06/2024,5
Philogy,0xc3ffd59bd2ab6fb4187672723276d953142fddde,4/1/2024,26/06/2024,5
Noah,0xf6401adc23faa6b9ad83ea8604ca7254cb7f53e7,4/1/2024,26/06/2024,5
Zach,0xf346100e892553dceb41a927fb668da7b0b7c964,4/1/2024,26/06/2024,5
Roman,,4/1/2024,26/06/2024,5
Jepsen,0xc7fe1135ba71e03a7a6b9e1ddb8f653f143bdcf9,4/1/2024,26/06/2024,5
OP Labs Representative (non-voting): Kelvin,0x64d8b3da3ac1ada3e9dd1da29335a9e586fd6ae5,4/1/2024,26/06/2024,5
